,Reaction,EC value,Method,Evaluation,Reaction.1,Reaction formula in CID format,order,order id,Reaction formula in python dictionary,T(K),pH,Ionic strength,pMg,K',electrolytes,Buffer/reagents/solute added,Reference_id,media conditions,exclude,reaction_id
3011,phosphoserine transaminase,2.6.1.52,enzymatic assay and spectrophotometry,A,3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),CHB_18110 + CHB_29985 = CHB_15811 + CHB_16810,3012,Keq_3012,"{'CHB_16810': 1, 'CHB_29985': -1, 'CHB_18110': -1, 'CHB_15811': 1}",311.15,7.0,0.25,,95.1,,phosphate (0.025 mol dm-3),81MER/MCA,mol/L; IS=0.25;(Mg)1=0.0025;2-oxoglutarate=0.00503;O-phospho-L-serine=0.00515;3-phosphonooxypyruvate=0.000509;L-glutamate=0.000535; Mg2+_free=0.00131,no,rxn_320
3012,phosphoserine transaminase,2.6.1.52,enzymatic assay and spectrophotometry,A,3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),CHB_18110 + CHB_29985 = CHB_15811 + CHB_16810,3013,Keq_3013,"{'CHB_16810': 1, 'CHB_29985': -1, 'CHB_18110': -1, 'CHB_15811': 1}",311.15,7.0,0.25,,79.6,,phosphate (0.025 mol dm-3),81MER/MCA,mol/L; IS=0.25;(Mg)1=0.004;2-oxoglutarate=0.00486;O-phospho-L-serine=0.00586;3-phosphonooxypyruvate=0.000444;L-glutamate=0.000668; Mg2+_free=0.00202,no,rxn_320
3013,phosphoserine transaminase,2.6.1.52,enzymatic assay and spectrophotometry,A,3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),CHB_18110 + CHB_29985 = CHB_15811 + CHB_16810,3014,Keq_3014,"{'CHB_16810': 1, 'CHB_29985': -1, 'CHB_18110': -1, 'CHB_15811': 1}",311.15,7.0,0.25,,80.6,,phosphate (0.025 mol dm-3),81MER/MCA,mol/L; IS=0.25;(Mg)1=0.004;2-oxoglutarate=0.00551;O-phospho-L-serine=0.00598;3-phosphonooxypyruvate=0.000615;L-glutamate=0.00062; Mg2+_free=0.00203,no,rxn_320
3014,phosphoserine transaminase,2.6.1.52,enzymatic assay and spectrophotometry,A,3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),CHB_18110 + CHB_29985 = CHB_15811 + CHB_16810,3015,Keq_3015,"{'CHB_16810': 1, 'CHB_29985': -1, 'CHB_18110': -1, 'CHB_15811': 1}",311.15,7.0,0.25,,91.6,,phosphate (0.025 mol dm-3),81MER/MCA,mol/L; IS=0.25;(Mg)1=0.005;2-oxoglutarate=0.00527;O-phospho-L-serine=0.00539;3-phosphonooxypyruvate=0.000515;L-glutamate=0.000602; Mg2+_free=0.00265,no,rxn_320
3015,phosphoserine transaminase,2.6.1.52,enzymatic assay and spectrophotometry,A,3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),CHB_18110 + CHB_29985 = CHB_15811 + CHB_16810,3016,Keq_3016,"{'CHB_16810': 1, 'CHB_29985': -1, 'CHB_18110': -1, 'CHB_15811': 1}",311.15,7.0,0.25,,88.9,,phosphate (0.025 mol dm-3),81MER/MCA,mol/L; IS=0.25;(Mg)1=0.005;2-oxoglutarate=0.00503;O-phospho-L-serine=0.00503;3-phosphonooxypyruvate=0.000509;L-glutamate=0.000559; Mg2+_free=0.00268,no,rxn_320
3016,phosphoserine transaminase,2.6.1.52,enzymatic assay and spectrophotometry,A,3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),CHB_18110 + CHB_29985 = CHB_15811 + CHB_16810,3017,Keq_3017,"{'CHB_16810': 1, 'CHB_29985': -1, 'CHB_18110': -1, 'CHB_15811': 1}",311.15,7.0,0.25,,83.6,,phosphate (0.025 mol dm-3),81MER/MCA,mol/L; IS=0.25;(Mg)1=0.0075;2-oxoglutarate=0.00515;O-phospho-L-serine=0.00509;3-phosphonooxypyruvate=0.000521;L-glutamate=0.000602; Mg2+_free=0.0041,no,rxn_320
3017,phosphoserine transaminase,2.6.1.52,enzymatic assay and spectrophotometry,A,3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),CHB_18110 + CHB_29985 = CHB_15811 + CHB_16810,3018,Keq_3018,"{'CHB_16810': 1, 'CHB_29985': -1, 'CHB_18110': -1, 'CHB_15811': 1}",311.15,7.0,0.25,,88.6,,phosphate (0.025 mol dm-3),81MER/MCA,mol/L; IS=0.25;(Mg)1=0.0075;2-oxoglutarate=0.00503;O-phospho-L-serine=0.00503;3-phosphonooxypyruvate=0.000527;L-glutamate=0.000542; Mg2+_free=0.00412,no,rxn_320
3018,phosphoserine transaminase,2.6.1.52,enzymatic assay and spectrophotometry,A,3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),CHB_18110 + CHB_29985 = CHB_15811 + CHB_16810,3019,Keq_3019,"{'CHB_16810': 1, 'CHB_29985': -1, 'CHB_18110': -1, 'CHB_15811': 1}",311.15,7.0,0.25,,74.9,,phosphate (0.025 mol dm-3),81MER/MCA,mol/L; IS=0.25;(Mg)1=0.01;2-oxoglutarate=0.00486;O-phospho-L-serine=0.0048;3-phosphonooxypyruvate=0.000462;L-glutamate=0.000674; Mg2+_free=0.00534,no,rxn_320
3019,phosphoserine transaminase,2.6.1.52,enzymatic assay and spectrophotometry,A,3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),CHB_18110 + CHB_29985 = CHB_15811 + CHB_16810,3020,Keq_3020,"{'CHB_16810': 1, 'CHB_29985': -1, 'CHB_18110': -1, 'CHB_15811': 1}",311.15,7.0,0.25,,76.9,,phosphate (0.025 mol dm-3),81MER/MCA,mol/L; IS=0.25;(Mg)1=0.01;2-oxoglutarate=0.00557;O-phospho-L-serine=0.00552;3-phosphonooxypyruvate=0.000615;L-glutamate=0.00065; Mg2+_free=0.00526,no,rxn_320
3020,phosphoserine transaminase,2.6.1.52,enzymatic assay and spectrophotometry,A,3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),CHB_18110 + CHB_29985 = CHB_15811 + CHB_16810,3021,Keq_3021,"{'CHB_16810': 1, 'CHB_29985': -1, 'CHB_18110': -1, 'CHB_15811': 1}",311.15,7.0,0.25,,86.1,,phosphate (0.025 mol dm-3),81MER/MCA,mol/L; IS=0.25;(Mg)1=0.01;2-oxoglutarate=0.00503;O-phospho-L-serine=0.00527;3-phosphonooxypyruvate=0.000527;L-glutamate=0.000584; Mg2+_free=0.00555,no,rxn_320
3021,phosphoserine transaminase,2.6.1.52,enzymatic assay and spectrophotometry,A,3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),CHB_18110 + CHB_29985 = CHB_15811 + CHB_16810,3022,Keq_3022,"{'CHB_16810': 1, 'CHB_29985': -1, 'CHB_18110': -1, 'CHB_15811': 1}",311.15,7.0,0.25,,84.8,,phosphate (0.025 mol dm-3),81MER/MCA,mol/L; IS=0.25;(Mg)1=0.01;2-oxoglutarate=0.00497;O-phospho-L-serine=0.00515;3-phosphonooxypyruvate=0.000533;L-glutamate=0.000566; Mg2+_free=0.00558,no,rxn_320
3022,phosphoserine transaminase,2.6.1.52,enzymatic assay and spectrophotometry,A,3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),CHB_18110 + CHB_29985 = CHB_15811 + CHB_16810,3023,Keq_3023,"{'CHB_16810': 1, 'CHB_29985': -1, 'CHB_18110': -1, 'CHB_15811': 1}",311.15,7.0,0.25,,73.5,,phosphate (0.025 mol dm-3),81MER/MCA,mol/L; IS=0.25;(Mg)1=0.02;2-oxoglutarate=0.00486;O-phospho-L-serine=0.00475;3-phosphonooxypyruvate=0.000479;L-glutamate=0.000656; Mg2+_free=0.0112,no,rxn_320
3023,phosphoserine transaminase,2.6.1.52,enzymatic assay and spectrophotometry,A,3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),CHB_18110 + CHB_29985 = CHB_15811 + CHB_16810,3024,Keq_3024,"{'CHB_16810': 1, 'CHB_29985': -1, 'CHB_18110': -1, 'CHB_15811': 1}",311.15,7.0,0.25,,73.0,,phosphate (0.025 mol dm-3),81MER/MCA,mol/L; IS=0.25;(Mg)1=0.02;2-oxoglutarate=0.00551;O-phospho-L-serine=0.0054;3-phosphonooxypyruvate=0.000651;L-glutamate=0.000626; Mg2+_free=0.011,no,rxn_320
3024,phosphoserine transaminase,2.6.1.52,enzymatic assay and spectrophotometry,A,3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),CHB_18110 + CHB_29985 = CHB_15811 + CHB_16810,3025,Keq_3025,"{'CHB_16810': 1, 'CHB_29985': -1, 'CHB_18110': -1, 'CHB_15811': 1}",311.15,7.0,0.07,,106.5,,phosphate (0.025 mol dm-3),81MER/MCA,mol/L; IS=0.07,no,rxn_320
3025,phosphoserine transaminase,2.6.1.52,enzymatic assay and spectrophotometry,A,3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),CHB_18110 + CHB_29985 = CHB_15811 + CHB_16810,3026,Keq_3026,"{'CHB_16810': 1, 'CHB_29985': -1, 'CHB_18110': -1, 'CHB_15811': 1}",311.15,7.0,0.5,,75.675,,phosphate (0.025 mol dm-3),81MER/MCA,mol/L; IS=0.5,no,rxn_320
3026,phosphoserine transaminase,2.6.1.52,enzymatic assay and spectrophotometry,A,3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),CHB_18110 + CHB_29985 = CHB_15811 + CHB_16810,3027,Keq_3027,"{'CHB_16810': 1, 'CHB_29985': -1, 'CHB_18110': -1, 'CHB_15811': 1}",311.15,7.0,0.75,,67.95,,phosphate (0.025 mol dm-3),81MER/MCA,mol/L; IS=0.75,no,rxn_320
3027,phosphoserine transaminase,2.6.1.52,enzymatic assay and spectrophotometry,A,3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),CHB_18110 + CHB_29985 = CHB_15811 + CHB_16810,3028,Keq_3028,"{'CHB_16810': 1, 'CHB_29985': -1, 'CHB_18110': -1, 'CHB_15811': 1}",311.15,7.0,0.95,,64.75,,phosphate (0.025 mol dm-3),81MER/MCA,mol/L; IS=0.95,no,rxn_320
3028,pyrroline-5-carboxylate reductase,1.5.1.2,spectrophotometry,C,(S)-proline(aq) + NADP(aq) = D-1-pyrroline-5-carboxylate(aq) + NADPH(aq),CHB_17203 + CHB_18009 = CHB_16474 + CHB_58667,3029,Keq_3029,"{'CHB_17203': -1, 'CHB_16474': 1, 'CHB_18009': -1, 'CHB_58667': 1}",298.15,9.23,,,4.3e-05,,glycine + NaOH (0.15 mol dm-3),81PAH/JAG,mol/L;glycine-NaOH=0.15,no,rxn_469
3029,adenylate kinase,2.7.4.3,radioactivity,C,2 ADP(aq) = AMP(aq) + ATP(aq),2 CHB_16761 = CHB_15422 + CHB_16027,3030,Keq_3030,"{'CHB_15422': 1, 'CHB_16761': -2.0, 'CHB_16027': 1}",303.15,7.4,,,1.09,,Tris (0.075 mol dm-3) + HCl,81RAM/PIC,mol/L;Tris-HCl=0.075;(Mg)1(Cl)2=0.015,no,rxn_61
3030,creatine kinase,2.7.3.2,NMR,B,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,3031,Keq_3031,"{'CHB_17287': 1, 'CHB_16919': -1, 'CHB_16761': 1, 'CHB_15422': -1}",277.15,7.8,,,0.08,,potassium Hepes (0.15 mol dm-3),81RAO/COH,mol/L;potassium HEPES=0.15;magnesium acetate=0.006;(K)1(Cl)1=0.05,no,rxn_1
3031,D-xylulose reductase,1.1.1.9,spectrophotometry,C,xylitol(aq) + NAD(aq) = D-xylulose(aq) + NADH(aq),CHB_15846 + CHB_17151 = CHB_16908 + CHS_388344,3032,Keq_3032,"{'CHB_17151': -1, 'CHB_16908': 1, 'CHS_388344': 1, 'CHB_15846': -1}",298.15,9.5,,,0.06,,glycine (0.030 mol dm-3) + NaOH,81SUG/VEI,mol/L;glycine-NaOH=0.03,no,rxn_201
3032,"GDP-D-mannose 3,5-epimerase",5.1.3.18,,C,GDPmannose(aq) = GDP-L-galactose(aq),CHB_15820 = CHB_18038,3033,Keq_3033,"{'CHB_15820': -1, 'CHB_18038': 1}",310.15,8.0,,,0.515152,,Tris (0.04 mol dm-3) + HCl,82BAR/HEB,mol/L;Tris-HCl=0.04,no,rxn_470
3033,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3034,Keq_3034,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",308.15,6.0,,,2660.0,MgCl2 (0.1 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.1,no,rxn_296
3034,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3035,Keq_3035,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",308.15,7.0,,,12400.0,MgCl2 (0.1 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.1,no,rxn_296
3035,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3036,Keq_3036,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",308.15,7.0,,,231.0,MgCl2 (0.063 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.063,no,rxn_296
3036,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3037,Keq_3037,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",308.15,6.0,,,949.0,MgCl2 (0.05 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.05,no,rxn_296
3037,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3038,Keq_3038,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",308.15,7.0,,,2060.0,MgCl2 (0.05 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.05,no,rxn_296
3038,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3039,Keq_3039,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",293.15,7.8,,,320.0,MgCl2 (0.025 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.025,no,rxn_296
3039,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3040,Keq_3040,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",299.15,7.8,,,372.0,MgCl2 (0.025 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.025,no,rxn_296
3040,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3041,Keq_3041,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",303.15,7.8,,,466.0,MgCl2 (0.025 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.025,no,rxn_296
3041,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3042,Keq_3042,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",308.15,6.0,,,520.0,MgCl2 (0.025 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.025,no,rxn_296
3042,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3043,Keq_3043,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",308.15,7.8,,,572.0,MgCl2 (0.025 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.025,no,rxn_296
3043,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3044,Keq_3044,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",308.15,7.0,,,687.0,MgCl2 (0.025 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.025,no,rxn_296
3044,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3045,Keq_3045,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",313.15,7.8,,,865.0,MgCl2 (0.025 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.025,no,rxn_296
3045,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3046,Keq_3046,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",293.15,7.8,,,126.0,MgCl2 (0.01 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.01,no,rxn_296
3046,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3047,Keq_3047,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",299.15,7.8,,,156.0,MgCl2 (0.01 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.01,no,rxn_296
3047,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3048,Keq_3048,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",303.15,7.8,,,187.0,MgCl2 (0.01 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.01,no,rxn_296
3048,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3049,Keq_3049,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",308.15,7.8,,,235.0,MgCl2 (0.01 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.01,no,rxn_296
3049,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3050,Keq_3050,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",313.15,7.8,,,294.0,MgCl2 (0.01 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.01,no,rxn_296
3050,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3051,Keq_3051,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",308.15,6.0,,,303.0,MgCl2 (0.01 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.01,no,rxn_296
3051,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3052,Keq_3052,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",308.15,7.0,,,125.0,MgCl2 (0.001 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.001,no,rxn_296
3052,inorganic pyrophosphatase,3.6.1.1,radioactivity,B,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),CHB_15377 + CHB_18361 = 2 CHB_26078,3053,Keq_3053,"{'CHB_26078': 2.0, 'CHB_18361': -1, 'CHB_15377': -1}",308.15,7.0,,,79.0,MgCl2 (0.0001 mol/L),Tris + maleate (0.10 mol dm-3),82DEM,mol/L;Tris-maleate=0.1;(Mg)1(Cl)2=0.0001,no,rxn_296
3053,aminoacylase,3.5.1.14,spectrophotometry,C,N-acetyl-L-glycine(aq) + H2O(l) = acetate(aq) + glycine(aq),CHB_15377 + PBC_10972 = CHB_15428 + CHB_30089,3054,Keq_3054,"{'CHB_15428': 1, 'PBC_10972': -1, 'CHB_15377': -1, 'CHB_30089': 1}",298.15,7.5,,,4.5,,phosphate (0.1 mol dm-3),82GAL/SVE,mol/L;phosphate buffer=0.1;N-acetyl-L-glycine=0.03;acetate=0;glycine=0,no,rxn_471
3054,aminoacylase,3.5.1.14,spectrophotometry,C,N-acetyl-L-alanine(aq) + H2O(l) = acetate(aq) + L-alanine(aq),CHB_15377 + CHB_40992 = CHB_16977 + CHB_30089,3055,Keq_3055,"{'CHB_16977': 1, 'CHB_40992': -1, 'CHB_15377': -1, 'CHB_30089': 1}",298.15,7.5,,,5.65,,phosphate (0.1 mol dm-3),82GAL/SVE,mol/L;phosphate buffer=0.1;N-acetyl-L-alanine=0.03;acetate=0;L-alanine=0,no,rxn_472
3055,aminoacylase,3.5.1.14,spectrophotometry,C,N-acetyl-L-amino-n-butyrate(aq) + H2O(l) = acetate(aq) + L-amino-n-butyrate(aq),CHB_15377 + CHB_17645 = CHB_30089 + CHB_35619,3056,Keq_3056,"{'CHB_35619': 1, 'CHB_17645': -1, 'CHB_15377': -1, 'CHB_30089': 1}",298.15,7.5,,,5.55,,phosphate (0.1 mol dm-3),82GAL/SVE,mol/L;phosphate buffer=0.1;N-acetyl-L-amino-n-butyrate=0.03;acetate=0;L-amino-n-butyrate=0,no,rxn_473
3056,aminoacylase,3.5.1.14,spectrophotometry,C,N-acetyl-L-methionine(aq) + H2O(l) = acetate(aq) + L-methionine(aq),CHB_15377 + CHB_21557 = CHB_16643 + CHB_30089,3057,Keq_3057,"{'CHB_16643': 1, 'CHB_21557': -1, 'CHB_15377': -1, 'CHB_30089': 1}",298.15,7.5,,,3.7,,phosphate (0.1 mol dm-3),82GAL/SVE,mol/L;phosphate buffer=0.1;N-acetyl-L-methionine=0.03;acetate=0;L-methionine=0,no,rxn_460
3057,aminoacylase,3.5.1.14,spectrophotometry,C,N-acetyl-L-norleucine(aq) + H2O(l) = acetate(aq) + L-norleucine(aq),CHB_15377 + PBC_306142 = CHB_18347 + CHB_30089,3058,Keq_3058,"{'PBC_306142': -1, 'CHB_18347': 1, 'CHB_15377': -1, 'CHB_30089': 1}",298.15,7.5,,,12.5,,phosphate (0.1 mol dm-3),82GAL/SVE,mol/L;phosphate buffer=0.1;N-acetyl-L-norleucine=0.03;acetate=0;L-norleucine=0,no,rxn_474
3058,aminoacylase,3.5.1.14,spectrophotometry,C,N-acetyl-L-norvaline(aq) + H2O(l) = acetate(aq) + L-norvaline(aq),CHB_15377 + PBC_5708661 = CHB_18314 + CHB_30089,3059,Keq_3059,"{'CHB_18314': 1, 'CHB_15377': -1, 'PBC_5708661': -1, 'CHB_30089': 1}",298.15,7.5,,,10.5,,phosphate (0.1 mol dm-3),82GAL/SVE,mol/L;phosphate buffer=0.1;N-acetyl-L-norvaline=0.03;acetate=0;L-norvaline=0,no,rxn_475
3059,alkaline phosphatase,3.1.3.1,spectrophotometry,A,(R)-3-phosphoglycerate(aq) + H2O(l) = (R)-glycerate(aq) + orthophosphate(aq),CHB_15377 + CHB_17794 = CHB_16659 + CHB_26078,3060,Keq_3060,"{'CHB_17794': -1, 'CHB_26078': 1, 'CHB_16659': 1, 'CHB_15377': -1}",311.15,7.0,0.25,,294.0,,potassium phosphate (0.025 mol dm-3),82GUY,mol/L;IS=0.25;(R)-glycerate=0.0687;orthophosphate=0.0509;(R)-3-phosphoglycerate=0.0000119;K+_tot=0.222;Mg2+_tot=0.0001,no,rxn_476
3060,alkaline phosphatase,3.1.3.1,spectrophotometry,A,(R)-3-phosphoglycerate(aq) + H2O(l) = (R)-glycerate(aq) + orthophosphate(aq),CHB_15377 + CHB_17794 = CHB_16659 + CHB_26078,3061,Keq_3061,"{'CHB_17794': -1, 'CHB_26078': 1, 'CHB_16659': 1, 'CHB_15377': -1}",311.15,7.0,0.25,,336.0,,potassium phosphate (0.025 mol dm-3),82GUY,mol/L;IS=0.25;(R)-glycerate=0.068;orthophosphate=0.0504;(R)-3-phosphoglycerate=0.0000102;K+_tot=0.22;Mg2+_tot=0.00099,no,rxn_476
3061,alkaline phosphatase,3.1.3.1,spectrophotometry,A,(R)-3-phosphoglycerate(aq) + H2O(l) = (R)-glycerate(aq) + orthophosphate(aq),CHB_15377 + CHB_17794 = CHB_16659 + CHB_26078,3062,Keq_3062,"{'CHB_17794': -1, 'CHB_26078': 1, 'CHB_16659': 1, 'CHB_15377': -1}",311.15,7.0,0.25,,269.0,,potassium phosphate (0.025 mol dm-3),82GUY,mol/L;IS=0.25;(R)-glycerate=0.0654;orthophosphate=0.0484;(R)-3-phosphoglycerate=0.0000118;K+_tot=0.212;Mg2+_tot=0.0048,no,rxn_476
